Date;Jour;Mois;Type de Tirage;Num1;Num2;Num3;Num4;Num5;Machine1;Machine2;Machine3;Machine4;Machine5
05/10/2020;Monday;octobre 2020;Reveil;88;42;76;74;45;49;81;56;16;73
05/10/2020;Monday;octobre 2020;Etoile;85;32;50;63;54;23;45;82;18;44
05/10/2020;Monday;octobre 2020;Akwaba;44;47;21;78;76;18;04;27;50;26
06/10/2020;Tuesday;octobre 2020;La Matinale;75;52;23;58;69;08;56;85;54;20
06/10/2020;Tuesday;octobre 2020;Emergence;70;31;01;39;63;43;76;34;66;89
06/10/2020;Tuesday;octobre 2020;Sika;44;20;82;76;01;79;03;80;17;15
07/10/2020;Wednesday;octobre 2020;Premiere Heure;23;80;52;63;48;01;33;32;09;13
07/10/2020;Wednesday;octobre 2020;Fortune;28;40;89;80;88;35;60;54;86;13
07/10/2020;Wednesday;octobre 2020;Baraka;55;39;34;14;57;42;32;76;62;58
08/10/2020;Thursday;octobre 2020;Kado;83;88;73;41;38;05;55;49;90;67
08/10/2020;Thursday;octobre 2020;Privilege;45;65;18;79;09;32;58;57;02;72
08/10/2020;Thursday;octobre 2020;Monni;68;33;53;75;30;83;63;62;90;51
09/10/2020;Friday;octobre 2020;Cash;57;67;80;13;16;19;31;27;36;53
09/10/2020;Friday;octobre 2020;Solution;69;57;78;32;03;33;42;47;83;80
09/10/2020;Friday;octobre 2020;Wari;87;50;67;76;55;58;72;52;82;48
10/10/2020;Saturday;octobre 2020;Soutra;62;74;76;27;71;21;44;36;05;26
10/10/2020;Saturday;octobre 2020;Diamant;90;33;82;30;62;34;45;49;77;01
10/10/2020;Saturday;octobre 2020;Moaye;23;28;01;19;50;45;48;08;85;40
11/10/2020;Sunday;octobre 2020;Benediction;51;63;02;86;16;89;80;82;39;01
11/10/2020;Sunday;octobre 2020;Prestige;24;75;43;69;07;30;68;81;79;48
11/10/2020;Sunday;octobre 2020;Awale;57;71;02;52;75;56;70;44;11;31
11/10/2020;Sunday;octobre 2020;Espoir;34;19;28;43;13;55;69;41;56;64
12/10/2020;Monday;octobre 2020;Reveil;50;15;65;19;56;66;78;75;79;88
12/10/2020;Monday;octobre 2020;Etoile;15;17;27;66;52;84;49;40;34;60
12/10/2020;Monday;octobre 2020;Akwaba;59;32;87;90;75;25;54;03;58;53
13/10/2020;Tuesday;octobre 2020;La Matinale;68;09;56;67;23;63;60;44;27;05
13/10/2020;Tuesday;octobre 2020;Emergence;08;42;75;47;06;60;13;76;24;50
13/10/2020;Tuesday;octobre 2020;Sika;40;63;83;30;79;06;24;70;25;72
14/10/2020;Wednesday;octobre 2020;Premiere Heure;52;67;17;05;59;24;64;04;72;25
14/10/2020;Wednesday;octobre 2020;Fortune;78;08;75;18;64;44;60;65;31;69
14/10/2020;Wednesday;octobre 2020;Baraka;01;29;31;40;46;38;24;67;85;78
15/10/2020;Thursday;octobre 2020;Kado;70;05;49;77;84;29;04;64;65;24
15/10/2020;Thursday;octobre 2020;Privilege;73;84;44;78;51;74;06;32;75;69
15/10/2020;Thursday;octobre 2020;Monni;90;19;17;67;48;26;78;60;45;20
16/10/2020;Friday;octobre 2020;Cash;52;09;46;23;36;87;21;81;04;41
16/10/2020;Friday;octobre 2020;Solution;09;43;31;42;59;83;67;16;27;75
16/10/2020;Friday;octobre 2020;Wari;52;73;21;16;78;67;58;49;08;14
17/10/2020;Saturday;octobre 2020;Soutra;23;42;84;59;13;69;51;28;33;12
17/10/2020;Saturday;octobre 2020;Diamant;43;90;41;40;48;50;20;04;36;68
17/10/2020;Saturday;octobre 2020;Moaye;28;11;71;07;78;84;39;87;59;89
18/10/2020;Sunday;octobre 2020;Benediction;38;80;11;02;46;86;25;33;17;37
18/10/2020;Sunday;octobre 2020;Prestige;57;17;42;54;10;22;74;46;44;45
18/10/2020;Sunday;octobre 2020;Awale;74;22;85;24;64;39;38;12;76;79
18/10/2020;Sunday;octobre 2020;Espoir;21;47;72;30;74;90;05;06;65;59
19/10/2020;Monday;octobre 2020;Reveil;12;33;15;72;69;38;08;39;61;76
19/10/2020;Monday;octobre 2020;Etoile;70;22;79;88;13;68;01;56;34;41
19/10/2020;Monday;octobre 2020;Akwaba;10;74;36;26;40;39;09;05;73;59
20/10/2020;Tuesday;octobre 2020;La Matinale;31;14;10;35;22;66;53;56;58;09
20/10/2020;Tuesday;octobre 2020;Emergence;74;62;16;45;23;83;59;31;53;13
20/10/2020;Tuesday;octobre 2020;Sika;76;47;61;39;60;13;35;43;54;30
21/10/2020;Wednesday;octobre 2020;Premiere Heure;34;05;50;83;41;01;61;42;77;33
21/10/2020;Wednesday;octobre 2020;Fortune;06;79;23;69;17;49;54;09;80;38
21/10/2020;Wednesday;octobre 2020;Baraka;50;41;79;31;30;12;59;43;25;73
22/10/2020;Thursday;octobre 2020;Kado;42;35;78;32;31;65;02;50;13;75
22/10/2020;Thursday;octobre 2020;Privilege;35;11;82;60;45;83;86;23;77;39
22/10/2020;Thursday;octobre 2020;Monni;46;32;55;41;35;15;16;59;47;87
23/10/2020;Friday;octobre 2020;Cash;85;52;40;44;01;46;10;76;35;51
23/10/2020;Friday;octobre 2020;Solution;51;46;11;78;03;36;33;89;48;63
23/10/2020;Friday;octobre 2020;Wari;34;18;20;74;69;40;49;13;52;62
24/10/2020;Saturday;octobre 2020;Soutra;21;05;56;80;88;65;48;26;84;01
24/10/2020;Saturday;octobre 2020;Diamant;18;08;37;64;75;09;28;63;78;68
24/10/2020;Saturday;octobre 2020;Moaye;24;90;38;23;13;01;37;57;87;14
25/10/2020;Sunday;octobre 2020;Benediction;81;71;27;89;46;50;28;14;35;60
25/10/2020;Sunday;octobre 2020;Prestige;47;70;29;60;51;21;55;30;81;54
25/10/2020;Sunday;octobre 2020;Awale;54;70;89;21;27;66;12;04;01;40
25/10/2020;Sunday;octobre 2020;Espoir;05;16;30;74;89;40;84;25;50;01
26/10/2020;Monday;octobre 2020;Reveil;25;73;82;24;19;79;23;03;51;13
26/10/2020;Monday;octobre 2020;Etoile;38;85;89;68;23;37;22;14;32;70
